# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
223.5000 M22$1 10000 48 163.5000 s21 p103 57 N s21->c131->s62->c147->c163->c162->c235->c108->c221->c116->c174->c240->c115->c107->c237->s74->c223->c187->c236->c158->s56->s83->s37->s66->c215->c197->c209->c229->c123->c195->c135->c224->c114->c185->c222->c118->c128->c119->c253->c219->c188->c148->c247->c120->c139->c142->c156->c204->p103
226.7000 M34$3 10000 17 46.7000 s33 p101 59 N s33->c180->c155->s57->c220->s20->s84->s30->s42->s13->c202->s7->s60->s86->s45->c232->c206->p101
228.1000 M33$1 10000 7 168.1000 s32 p102 57 N s32->c165->s2->s29->s46->s11->c168->p102
238.2000 M24$3 10000 45 58.2000 s23 p103 59 N s23->s14->c191->c129->c150->s54->s24->s34->c126->s87->s94->c194->s69->s44->s88->s79->s49->c249->s77->c177->c201->s1->c141->c106->c205->s83->s37->s66->s56->c158->c224->c114->c185->c135->c195->c123->c229->c148->c247->c120->c139->c142->c243->c156->c197->p103
240.0000 M38$4 10000 18 0.0000 s37 p103 60 N s37->s66->s83->s56->c158->c224->c114->c185->c135->c195->c229->c123->c250->c148->c247->c120->c156->c197->p103
241.3000 M42$2 10000 65 121.3000 s41 p100 57 N s41->s43->s61->c193->s13->s42->s30->s84->s20->s71->s58->c220->c133->c217->c117->c149->c180->c181->s0->s9->s67->s35->c183->s98->c136->s16->c203->s10->s3->s34->c126->s87->s94->c194->s69->s44->s88->s79->s49->c249->s77->c177->c201->s1->c141->c106->c205->s83->s37->s66->s56->c158->c224->c114->c185->c135->c195->c123->c229->c148->c250->c209->c215->c219->c188->p100
241.3000 M44$2 10000 65 121.3000 s43 p100 57 N s43->s41->s61->c193->s13->s42->s30->s84->s20->s71->s58->c220->c133->c217->c117->c149->c180->c181->s0->s9->s67->s35->c183->s98->c136->s16->c203->s10->s3->s34->c126->s87->s94->c194->s69->s44->s88->s79->s49->c249->s77->c177->c201->s1->c141->c106->c205->s83->s37->s66->s56->c158->c224->c114->c185->c135->c195->c123->c229->c148->c250->c209->c215->c219->c188->p100
241.3000 M48$3 10000 35 61.3000 s47 p100 58 N s47->s55->c113->s11->c216->p102->c168->c175->s44->s88->s79->s49->c249->s77->c141->c106->c205->s83->s37->s66->s56->c158->c224->c114->c185->c135->c195->c123->c229->c148->c250->c209->c215->c219->c188->p100
241.3000 M3$3 10000 35 61.3000 s2 p100 58 N s2->s29->s46->s11->c216->p102->c168->c175->s44->s88->s79->s49->c249->s77->c141->c106->c205->s83->s37->s66->s56->c158->c224->c114->c185->c135->c195->c123->c229->c148->c250->c209->c215->c219->c188->p100
241.4000 M13$4 10000 12 1.4000 s12 p102 59 N s12->c177->s77->s6->c249->s49->s79->s63->s88->s44->c166->c168->p102
241.4000 M45$4 10000 3 1.4000 s44 p102 59 N s44->c166->c168->p102
241.4000 M17$3 10000 13 61.4000 s16 p102 58 N s16->c203->s10->s3->s34->c126->s87->s94->c194->s69->s44->c166->c168->p102
241.4000 M28$3 10000 20 61.4000 s27 p102 58 N s27->c164->c241->c132->s23->s14->c191->c129->c150->s54->s24->s34->c126->s87->s94->c194->s69->s44->c166->c168->p102
241.4000 M2$4 10000 15 1.4000 s1 p102 59 N s1->c141->c201->s12->c177->s77->s6->c249->s49->s79->s63->s88->s44->c166->c168->p102
241.5000 M46$4 10000 9 1.5000 s45 p101 59 N s45->s86->s60->s7->c232->c144->s73->s25->s40->p101
