# time  ID  size  fromHost  toHost  TTL  isResponse
480.0000 M11$8 10000 s10 p100 60 N 
480.0000 M12$8 10000 s11 p100 60 N 
480.0000 M13$8 10000 s12 p104 60 N 
480.0000 M14$8 10000 s13 p102 60 N 
480.0000 M15$8 10000 s14 p101 60 N 
480.0000 M16$8 10000 s15 p101 60 N 
480.0000 M17$8 10000 s16 p100 60 N 
480.0000 M18$8 10000 s17 p100 60 N 
480.0000 M19$8 10000 s18 p104 60 N 
480.0000 M20$8 10000 s19 p101 60 N 
480.0000 M21$8 10000 s20 p101 60 N 
480.0000 M22$8 10000 s21 p101 60 N 
480.0000 M23$8 10000 s22 p104 60 N 
480.0000 M24$8 10000 s23 p104 60 N 
480.0000 M25$8 10000 s24 p102 60 N 
480.0000 M26$8 10000 s25 p102 60 N 
480.0000 M27$8 10000 s26 p100 60 N 
480.0000 M28$8 10000 s27 p100 60 N 
480.0000 M29$8 10000 s28 p100 60 N 
480.0000 M30$8 10000 s29 p103 60 N 
480.0000 M31$8 10000 s30 p100 60 N 
480.0000 M32$8 10000 s31 p102 60 N 
480.0000 M33$8 10000 s32 p103 60 N 
480.0000 M34$8 10000 s33 p102 60 N 
480.0000 M35$8 10000 s34 p101 60 N 
480.0000 M36$8 10000 s35 p100 60 N 
480.0000 M37$8 10000 s36 p101 60 N 
480.0000 M38$8 10000 s37 p103 60 N 
480.0000 M39$8 10000 s38 p104 60 N 
480.0000 M40$8 10000 s39 p101 60 N 
480.0000 M41$8 10000 s40 p101 60 N 
480.0000 M42$8 10000 s41 p101 60 N 
480.0000 M43$8 10000 s42 p101 60 N 
480.0000 M44$8 10000 s43 p101 60 N 
480.0000 M45$8 10000 s44 p101 60 N 
480.0000 M46$8 10000 s45 p101 60 N 
480.0000 M47$8 10000 s46 p104 60 N 
480.0000 M48$8 10000 s47 p104 60 N 
480.0000 M49$8 10000 s48 p102 60 N 
480.0000 M50$8 10000 s49 p100 60 N 
540.0000 M1$9 10000 s0 p103 60 N 
540.0000 M2$9 10000 s1 p102 60 N 
540.0000 M3$9 10000 s2 p103 60 N 
540.0000 M4$9 10000 s3 p102 60 N 
540.0000 M5$9 10000 s4 p101 60 N 
540.0000 M6$9 10000 s5 p101 60 N 
540.0000 M7$9 10000 s6 p102 60 N 
540.0000 M8$9 10000 s7 p101 60 N 
540.0000 M9$9 10000 s8 p104 60 N 
540.0000 M10$9 10000 s9 p104 60 N 
540.0000 M11$9 10000 s10 p100 60 N 
540.0000 M12$9 10000 s11 p103 60 N 
540.0000 M13$9 10000 s12 p102 60 N 
540.0000 M14$9 10000 s13 p102 60 N 
540.0000 M15$9 10000 s14 p100 60 N 
540.0000 M16$9 10000 s15 p101 60 N 
540.0000 M17$9 10000 s16 p100 60 N 
540.0000 M18$9 10000 s17 p101 60 N 
540.0000 M19$9 10000 s18 p100 60 N 
540.0000 M20$9 10000 s19 p102 60 N 
540.0000 M21$9 10000 s20 p100 60 N 
540.0000 M22$9 10000 s21 p100 60 N 
540.0000 M23$9 10000 s22 p102 60 N 
540.0000 M24$9 10000 s23 p101 60 N 
540.0000 M25$9 10000 s24 p104 60 N 
540.0000 M26$9 10000 s25 p103 60 N 
540.0000 M27$9 10000 s26 p100 60 N 
540.0000 M28$9 10000 s27 p104 60 N 
540.0000 M29$9 10000 s28 p102 60 N 
540.0000 M30$9 10000 s29 p104 60 N 
540.0000 M31$9 10000 s30 p102 60 N 
540.0000 M32$9 10000 s31 p104 60 N 
540.0000 M33$9 10000 s32 p104 60 N 
540.0000 M34$9 10000 s33 p100 60 N 
540.0000 M35$9 10000 s34 p100 60 N 
540.0000 M36$9 10000 s35 p103 60 N 
540.0000 M37$9 10000 s36 p102 60 N 
540.0000 M38$9 10000 s37 p103 60 N 
540.0000 M39$9 10000 s38 p101 60 N 
540.0000 M40$9 10000 s39 p103 60 N 
540.0000 M41$9 10000 s40 p101 60 N 
540.0000 M42$9 10000 s41 p100 60 N 
540.0000 M43$9 10000 s42 p101 60 N 
540.0000 M44$9 10000 s43 p101 60 N 
540.0000 M45$9 10000 s44 p101 60 N 
540.0000 M46$9 10000 s45 p100 60 N 
540.0000 M47$9 10000 s46 p100 60 N 
540.0000 M48$9 10000 s47 p104 60 N 
540.0000 M49$9 10000 s48 p100 60 N 
540.0000 M50$9 10000 s49 p101 60 N 
600.0000 M1$10 10000 s0 p100 60 N 
600.0000 M2$10 10000 s1 p104 60 N 
600.0000 M3$10 10000 s2 p100 60 N 
600.0000 M4$10 10000 s3 p104 60 N 
600.0000 M5$10 10000 s4 p101 60 N 
600.0000 M6$10 10000 s5 p104 60 N 
600.0000 M7$10 10000 s6 p100 60 N 
600.0000 M8$10 10000 s7 p101 60 N 
600.0000 M9$10 10000 s8 p103 60 N 
600.0000 M10$10 10000 s9 p100 60 N 
600.0000 M11$10 10000 s10 p102 60 N 
600.0000 M12$10 10000 s11 p103 60 N 
600.0000 M13$10 10000 s12 p104 60 N 
600.0000 M14$10 10000 s13 p100 60 N 
600.0000 M15$10 10000 s14 p104 60 N 
600.0000 M16$10 10000 s15 p100 60 N 
600.0000 M17$10 10000 s16 p102 60 N 
600.0000 M18$10 10000 s17 p103 60 N 
600.0000 M19$10 10000 s18 p101 60 N 
600.0000 M20$10 10000 s19 p100 60 N 
600.0000 M21$10 10000 s20 p103 60 N 
600.0000 M22$10 10000 s21 p101 60 N 
600.0000 M23$10 10000 s22 p104 60 N 
600.0000 M24$10 10000 s23 p102 60 N 
600.0000 M25$10 10000 s24 p103 60 N 
600.0000 M26$10 10000 s25 p101 60 N 
600.0000 M27$10 10000 s26 p103 60 N 
600.0000 M28$10 10000 s27 p100 60 N 
600.0000 M29$10 10000 s28 p101 60 N 
600.0000 M30$10 10000 s29 p100 60 N 
600.0000 M31$10 10000 s30 p103 60 N 
600.0000 M32$10 10000 s31 p104 60 N 
600.0000 M33$10 10000 s32 p102 60 N 
600.0000 M34$10 10000 s33 p103 60 N 
600.0000 M35$10 10000 s34 p103 60 N 
600.0000 M36$10 10000 s35 p102 60 N 
600.0000 M37$10 10000 s36 p102 60 N 
600.0000 M38$10 10000 s37 p101 60 N 
